Year,Month,Day,Price,Type
2017,10,23,2000,2
2017,10,31,2000,2
2017,11,6,2000,2
2017,11,13,2000,2
2017,11,17,1800,2
2017,11,23,2000,2
2017,11,29,1800,2
2017,12,4,1800,2
2017,12,7,2000,2
2017,12,18,1100,2
2017,12,21,2000,2
2017,12,28,2700,2
2018,1,3,2500,2
2018,1,9,2200,2
2018,1,12,2200,2
2018,1,17,2200,2
2018,2,1,2000,2
2018,2,7,2200,2
2018,2,16,2200,2
2018,2,21,2200,2
2018,2,26,2200,2
2018,3,1,2000,2
2018,3,7,2000,2
2018,3,12,2000,2
2018,3,15,2000,2
2018,3,20,2000,2
2018,3,26,2200,2
2018,4,4,2000,2
2018,4,10,2000,2
2018,4,17,2000,2
2018,4,20,2200,2
2018,4,25,2500,2
2018,5,2,2750,2
2018,5,9,2750,2
2018,5,14,2750,2
2018,5,23,2300,2
2018,6,5,2000,2
2018,6,11,2000,2
2018,6,14,2200,2
2018,6,20,2000,2
2018,6,25,2000,2
2018,6,29,2000,2
2018,7,4,2200,2
2018,7,7,2000,2
2018,7,11,2000,2
2018,7,16,2200,2
2018,7,19,2200,2
2018,7,24,2250,2
2018,7,31,2300,2
2018,8,3,2300,2
2018,8,8,2500,2
2018,8,13,3000,2
2018,8,16,3000,2
2018,8,24,3000,2
2018,9,10,3000,2
2018,9,18,3000,2
2018,9,26,3000,2
2018,10,1,3000,2
2018,10,31,3000,2
2018,11,12,3000,2
2019,1,17,2050,2
2019,3,20,2300,2
2019,4,1,2300,2
2019,5,9,3000,2
2019,5,15,4500,2
2011,6,24,2540,1
2011,7,6,1900,1
2011,7,1,2300,1
2011,6,28,2400,1
2011,7,18,1800,1
2011,7,14,1800,1
2011,7,11,1800,1
2011,7,29,1700,1
2011,7,26,1700,1
2011,7,21,1800,1
2011,8,8,180,1
2011,8,3,1800,1
2011,7,29,1700,1
2011,8,18,2200,1
2011,8,15,2200,1
2011,9,2,2600,1
2011,8,26,2280,1
2011,8,25,2400,1
2011,9,14,2800,1
2011,9,12,2700,1
2011,9,6,2700,1
2011,9,26,2800,1
2011,9,21,2800,1
2011,9,19,2700,1
2011,10,6,2700,1
2011,10,3,3000,1
2011,9,28,300,1
2011,10,18,3400,1
2011,10,12,3000,1
2011,10,10,3000,1
2011,11,7,3600,1
2011,10,27,3600,1
2011,10,24,3600,1
2011,11,17,3700,1
2011,11,14,3600,1
2011,11,4,3340,1
2011,11,29,3300,1
2011,11,25,3300,1
2011,11,22,3400,1
2011,12,9,3560,1
2011,12,7,3600,1
2011,12,2,2800,1
2011,12,22,3600,1
2011,12,29,3600,1
2012,1,6,4400,1
2012,1,3,4200,1
2012,1,16,4700,1
2012,1,11,4700,1
2012,1,6,4300,1
2012,1,20,4580,1
2012,1,24,4300,1
2012,1,19,4600,1
2012,2,8,2400,1
2012,2,3,4000,1
2012,2,23,4000,1
2012,2,20,4000,1
2012,2,15,4000,1
2012,2,13,4000,1
2012,3,1,3900,1
2012,2,24,4000,1
2012,3,16,4800,1
2012,3,13,4800,1
2012,3,8,4400,1
2012,3,29,5000,1
2012,3,26,5000,1
2012,3,21,4800,1
2012,3,19,4800,1
2012,4,10,4600,1
2012,3,30,5000,1
2012,4,20,4680,1
2012,4,18,4700,1
2012,4,13,4600,1
2012,5,3,5300,1
2012,4,30,5200,1
2012,4,24,5000,1
2012,5,15,5400,1
2012,5,11,5400,1
2012,5,8,5400,1
2012,5,30,3200,1
2012,5,18,5180,1
2012,5,23,5100,1
2012,6,15,3800,1
2012,6,11,4000,1
2012,6,6,3600,1
2012,6,4,3200,1
2012,6,22,3300,1
2012,6,22,4000,1
2012,6,19,4000,1
2012,7,11,3200,1
2012,7,9,3200,1
2012,7,4,2900,1
2012,7,27,3300,1
2012,7,23,2800,1
2012,7,18,2700,1
2012,7,13,2900,1
2012,8,8,3000,1
2012,8,3,2800,1
2012,7,31,3000,1
2012,8,24,3100,1
2012,8,21,3000,1
2012,8,15,3200,1
2012,9,5,3300,1
2012,8,31,3400,1
2012,8,28,3200,1
2015,12,9,2200,1
2016,2,4,2200,1
2016,1,28,2100,1
2016,3,2,2500,1
2016,3,7,2500,1
2016,2,15,2300,1
2016,2,9,2100,1
2016,3,22,2300,1
2016,3,16,2500,1
2016,2,29,2400,1
2016,4,8,2400,1
2016,4,5,2400,1
